<CAZCO_NAUNAY_WLAN_2020.03.11.11.29.57.txt>
172.21.172.87/21
9c:64:8b:47:dc:31	172.21.173.82
30:35:ad:b1:49:34	172.21.172.83
d8:0b:9a:33:1b:86	172.21.173.83
78:88:6d:77:e7:a2	172.21.168.84
d8:1c:79:e8:6c:89	172.21.169.84
34:42:62:ca:54:11	172.21.173.84
58:6b:14:90:81:ac	172.21.168.85
3c:15:c2:e7:19:44	172.21.169.85
70:3c:69:90:6c:91	172.21.173.85
0c:2c:54:3e:9f:7a	172.21.169.86
d4:63:c6:e0:ac:71	172.21.172.86
14:96:e5:d9:a8:fd	172.21.173.86
0c:2c:54:c7:a8:55	172.21.168.87
e4:e4:ab:01:be:9b	172.21.169.87
70:70:0d:aa:3e:8b	172.21.173.87
8c:f5:a3:65:fd:b8	172.21.173.88
88:b2:91:41:66:53	172.21.168.91
c0:33:5e:1f:fa:1f	172.21.172.91
30:07:4d:9a:5c:f9	172.21.168.92
18:01:f1:81:81:dc	172.21.169.92
dc:ef:ca:d3:d8:05	172.21.169.93
64:a5:c3:57:13:66	172.21.173.94
f0:98:9d:a7:fe:63	172.21.169.95
d4:a3:3d:b4:5b:c6	172.21.172.95
90:63:3b:b9:28:d5	172.21.173.95
70:3c:69:54:6d:e0	172.21.168.96
b8:b2:f8:77:01:6c	172.21.173.96
a8:34:6a:06:e9:fc	172.21.172.97
5c:1d:d9:b2:37:1a	172.21.173.99
14:d0:0d:e9:9c:31	172.21.172.100
6c:4d:73:b3:91:1c	172.21.173.100
88:19:08:9f:09:44	172.21.173.101
88:29:9c:19:50:15	172.21.168.102
20:32:6c:8e:59:e4	172.21.172.102
cc:08:8d:a7:0b:e6	172.21.173.102
50:de:06:33:38:15	172.21.168.103
74:42:8b:6e:ec:01	172.21.173.103
28:18:78:cd:98:ed	172.21.169.104
40:26:19:b5:94:71	172.21.173.104
28:ff:3c:5e:16:3b	172.21.169.105
64:70:33:69:f7:d2	172.21.173.105
00:5b:94:8b:82:a7	172.21.168.106
20:ee:28:a1:51:14	172.21.169.106
f0:ee:10:ea:05:90	172.21.172.106
e8:fb:e9:08:4d:58	172.21.173.106
dc:08:0f:08:11:b4	172.21.169.107
88:66:a5:92:b9:fc	172.21.173.107
f4:f5:db:d1:b8:7d	172.21.169.108
f8:ff:c2:13:94:b9	172.21.168.109
d4:6a:6a:87:f0:2d	172.21.169.109
48:4b:aa:03:ea:b7	172.21.173.109
18:65:90:00:f9:ac	172.21.169.111
bc:98:df:94:00:2d	172.21.173.111
a4:50:46:ee:1f:92	172.21.169.112
e0:33:8e:94:d8:6d	172.21.173.112
9c:b6:d0:d9:fc:61	172.21.168.113
c0:e8:62:42:b6:d3	172.21.169.114
0a:16:62:ef:56:43	172.21.172.114
c0:9a:d0:76:80:e5	172.21.168.115
08:74:02:11:97:9a	172.21.169.116
7c:03:ab:27:d1:0c	172.21.172.116
48:3b:38:11:18:05	172.21.168.117
38:89:2c:66:b9:44	172.21.172.117
54:c9:df:c9:83:2e	172.21.173.117
30:07:4d:0d:2a:ff	172.21.168.118
6c:72:e7:b9:3b:26	172.21.173.118
48:c7:96:56:2a:67	172.21.169.119
98:00:c6:c7:fe:13	172.21.173.119
b4:6b:fc:cd:f7:da	172.21.169.120
78:31:c1:06:f6:4b	172.21.172.120
bc:54:51:41:0d:60	172.21.173.120
